time,magnitude,place,longitude,latitude,depth,type,alert,tsunami,sig
2024-11-17 12:16:29.918,6.1,"155 km SSE of Koshima, Japan",131.3955,29.0501,8.0,earthquake,green,0,573
2024-11-17 12:08:45.530,1.9,"5 km NW of Fontana, CA",-117.4916667,34.1365,2.63,earthquake,,0,56
2024-11-17 12:02:30.120,1.16,"8 km NNW of The Geysers, CA",-122.815170288086,38.832332611084,1.62000000476837,earthquake,,0,21
2024-11-17 11:53:13.060,1.19,"3 km SSE of Highland Park, CA",-118.1835,34.0931667,9.89,earthquake,,0,22
2024-11-17 11:48:10.389,2.7,"17 km E of Pleasanton, Texas",-98.302,28.946,4.6143,earthquake,,0,113
2024-11-17 11:47:15.700,1.07,"7 km NW of The Geysers, CA",-122.823333740234,38.8199996948242,2.19000005722046,earthquake,,0,18
2024-11-17 11:43:21.130,2.63,"2 km NE of Magas Arriba, Puerto Rico",-66.7491666666667,18.0316666666667,13.77,earthquake,,0,106
2024-11-17 11:39:33.930,0.98,"1 km NE of The Geysers, CA",-122.745498657227,38.7876663208008,1.86000001430511,earthquake,,0,15
2024-11-17 11:10:54.170,1.28,"15 km ENE of Indio, CA",-116.0763333,33.788,1.8,earthquake,,0,25
2024-11-17 11:05:35.980,0.92,"6 km NW of Fontana, CA",-117.5021667,34.1326667,2.71,earthquake,,0,13
2024-11-17 11:03:18.920,0.9,"21 km NW of Stanley, Idaho",-115.1475,44.3405,4.53,earthquake,,0,12
2024-11-17 11:01:43.770,1.35,"5 km NW of Fontana, CA",-117.4933333,34.1355,2.63,earthquake,,0,28
2024-11-17 10:54:04.160,1.91,"16 km N of Pāhala, Hawaii",-155.485000610352,19.3488330841064,3.0,earthquake,,0,56
2024-11-17 10:48:51.930,1.35,"5 km NW of Fontana, CA",-117.4948333,34.135,2.59,earthquake,,0,28
2024-11-17 10:41:38.530,2.08,"5 km NW of Fontana, CA",-117.4923333,34.1373333,2.58,earthquake,,0,68
2024-11-17 10:27:20.840,1.07,"2 km NW of The Geysers, CA",-122.77783203125,38.7923316955566,1.95000004768372,earthquake,,0,18
2024-11-17 10:17:47.617,1.6,"32 km NW of Eureka Roadhouse, Alaska",-147.5673,62.1665,29.7,earthquake,,0,39
2024-11-17 10:13:25.830,2.07999992,"3 km S of Pāhala, Hawaii",-155.476837158203,19.1736660003662,29.5300006866455,earthquake,,0,67
2024-11-17 10:11:57.980,0.72,"7 km WNW of Cobb, CA",-122.796165466309,38.8366661071777,1.32000005245209,earthquake,,0,8
2024-11-17 09:58:33.440,1.43,"6 km NW of Fontana, CA",-117.4965,34.138,3.39,earthquake,,0,31
2024-11-17 09:34:55.500,1.86,"6 km NW of Fontana, CA",-117.4965,34.1391667,3.33,earthquake,,0,54
2024-11-17 09:34:35.360,1.92,"23 km WNW of Stanley, Idaho",-115.188666666667,44.334,8.07,earthquake,,0,57
2024-11-17 09:33:49.900,2.01,"6 km NW of Fontana, CA",-117.498,34.1405,2.99,earthquake,,0,62
2024-11-17 09:33:44.960,2.31999993,"4 km SSW of Pāhala, Hawaii",-155.491836547852,19.1679992675781,31.4400005340576,earthquake,,0,83
2024-11-17 09:32:58.740,2.64,"7 km NW of Fontana, CA",-117.4998333,34.1463333,2.6,earthquake,,0,118
2024-11-17 09:32:33.160,2.18000007,"4 km SSW of Pāhala, Hawaii",-155.496337890625,19.1646671295166,31.5400009155273,earthquake,,0,73
2024-11-17 09:27:25.630,2.88,"33 km E of Coso Junction, CA",-117.5863333,36.1008333,0.95,earthquake,,0,128
2024-11-17 09:24:25.230,2.58,"5 km SW of Pāhala, Hawaii",-155.506500244141,19.1633338928223,32.8499984741211,earthquake,,0,102
2024-11-17 09:17:54.460,0.68,"8 km WSW of Anza, CA",-116.7441667,33.5186667,3.87,earthquake,,0,7
2024-11-17 08:54:26.682,1.6,"33 km W of Nikiski, Alaska",-151.9018,60.7162,88.6,earthquake,,0,39
2024-11-17 08:50:08.000,1.07,"6 km NW of Fontana, CA",-117.4938333,34.1371667,3.21,earthquake,,0,18
2024-11-17 08:43:46.648,4.3,"250 km SE of Masohi, Indonesia",130.4671,-4.9975,122.319,earthquake,,0,284
2024-11-17 08:32:08.290,0.44,"13 km SE of Anza, CA",-116.5705,33.4748333,10.51,earthquake,,0,3
2024-11-17 08:26:42.330,2.16,"2 km WSW of Potala Pastillo, Puerto Rico",-66.5153333333333,17.9868333333333,15.19,earthquake,,0,72
2024-11-17 08:18:08.880,1.78,"14 km WNW of Petrolia, CA",-124.446502685547,40.329833984375,17.7900009155273,earthquake,,0,49
2024-11-17 08:17:01.600,0.8,"22 km SSE of Twentynine Palms, CA",-115.997,33.95,7.78,earthquake,,0,10
2024-11-17 08:12:18.080,1.06,"22 km SSE of Twentynine Palms, CA",-115.997,33.9513333,7.78,earthquake,,0,17
2024-11-17 08:04:09.690,1.54,"20 km NW of Grapevine, CA",-119.0656667,35.0851667,12.19,earthquake,,0,36
2024-11-17 08:03:45.640,1.06,"1 km SSE of Snoqualmie, Washington",-121.81666666666666,47.513666666666666,17.97,earthquake,,0,17
2024-11-17 08:03:35.360,1.2,"9 km ENE of Oildale, CA",-118.931,35.4526667,13.98,earthquake,,0,22
2024-11-17 08:02:14.460,0.62,"60 km SE of Pedro Bay, Alaska",-153.441,59.356,0.63,earthquake,,0,6
2024-11-17 07:54:31.507,1.5,"62 km NNE of Lake Minchumina, Alaska",-152.0564,64.4348,21.8,earthquake,,0,35
2024-11-17 07:43:49.500,1.07,"7 km WNW of Cobb, CA",-122.807830810547,38.8328323364258,2.04999995231628,earthquake,,0,18
2024-11-17 07:42:41.910,1.6,"3 km SSE of Issaquah, Washington",-122.01066666666667,47.499833333333335,9.23,earthquake,,0,39
2024-11-17 07:37:32.500,1.06,"24 km N of Trona, CA",-117.3316667,35.9766667,4.35,earthquake,,0,17
2024-11-17 07:00:11.850,1.99000001,"45 km ESE of Naalehu, Hawaii",-155.195495605469,18.886999130249,5.15000009536743,earthquake,,0,61
2024-11-17 06:29:04.200,1.01,"6 km NNW of The Geysers, CA",-122.804336547852,38.8171653747559,1.92999994754791,earthquake,,0,16
2024-11-17 06:22:11.595,1.6,"55 km S of Whites City, New Mexico",-104.47,31.68,6.3032,earthquake,,0,39
2024-11-17 06:14:26.539,1.8,"57 km ESE of Dell City, Texas",-104.654,31.709,2.5904,earthquake,,0,50
2024-11-17 05:58:33.360,2.93,"11 km W of Almanor, CA",-121.31233215332,40.2148323059082,-0.870000004768372,earthquake,,0,133
2024-11-17 05:48:39.420,1.07,"5 km NNW of The Geysers, CA",-122.783164978027,38.8161659240723,1.58000004291534,earthquake,,0,18
2024-11-17 04:51:43.590,3.0,"69 km ENE of Chase, Alaska",-148.8239,62.6433,32.1,earthquake,,0,138
2024-11-17 04:43:47.370,1.13,"7 km WSW of Corona, CA",-117.637,33.8476667,9.94,earthquake,,0,20
2024-11-17 04:33:53.920,1.02,"1 km N of The Geysers, CA",-122.758003234863,38.7840003967285,1.95000004768372,earthquake,,0,16
2024-11-17 04:33:44.786,2.0,"17 km ENE of Walker Lake, Nevada",-118.5814,38.7216,7.3,earthquake,,0,62
2024-11-17 04:26:44.997,4.9,"129 km SE of Bitung, Indonesia",126.0453,0.7206,50.65,earthquake,,0,369
2024-11-17 04:17:21.630,3.37,"6 km NNW of Fontana, CA",-117.49617,34.1448326,3.54,earthquake,,0,312
2024-11-17 04:14:37.923,4.5,south of the Fiji Islands,-179.9814,-24.2382,510.613,earthquake,,0,312
2024-11-17 03:59:56.827,1.7,"52 km S of Whites City, New Mexico",-104.288,31.711,4.8672,earthquake,,0,44
2024-11-17 03:38:53.040,2.44,"20 km S of Neah Bay, Washington",-124.64166666666667,48.18183333333333,6.46,earthquake,,0,92
2024-11-17 03:35:33.390,1.33,"15 km ENE of Indio, CA",-116.0771667,33.7885,2.16,earthquake,,0,27
2024-11-17 03:30:20.210,0.94,"4 km NE of Ocotillo Wells, CA",-116.1061667,33.1713333,10.92,earthquake,,0,14
2024-11-17 03:09:29.350,3.26,"22 km W of Stella, Puerto Rico",-67.4545,18.2903333333333,78.79,earthquake,,0,164
2024-11-17 03:07:58.280,2.35,"1 km SSW of Guánica, Puerto Rico",-66.9136666666667,17.9628333333333,13.56,earthquake,,0,85
2024-11-17 03:05:42.880,1.09,"6 km S of Redlands, CA",-117.1881667,34.0011667,17.36,earthquake,,0,18
2024-11-17 02:55:50.950,0.67,"7 km NW of The Geysers, CA",-122.828163146973,38.8128318786621,2.46000003814697,earthquake,,0,7
2024-11-17 02:39:49.687,1.3,"11 km NNW of Nixon, Nevada",-119.4012,39.928,10.4,earthquake,,0,26
2024-11-17 01:55:18.790,0.75,"7 km NNW of The Geysers, CA",-122.800666809082,38.8269996643066,1.73000001907349,earthquake,,0,9
2024-11-17 01:49:48.160,0.54,"15 km SSW of Searles Valley, CA",-117.4638333,35.6433333,5.71,earthquake,,0,4
2024-11-17 01:36:32.270,0.55,"8 km NNW of The Geysers, CA",-122.818168640137,38.8320007324219,2.00999999046326,earthquake,,0,5
2024-11-17 01:19:46.910,1.27,"18 km WNW of Hebgen Lake Estates, Montana",-111.390333333333,44.8486666666667,6.91,earthquake,,0,25
2024-11-17 01:01:02.560,1.07,"5 km SSE of Loma Linda, CA",-117.2348333,34.0053333,10.85,earthquake,,0,18
2024-11-17 00:47:40.780,3.72,"151 km NNE of Vieques, Puerto Rico",-65.2635,19.6805,70.0,earthquake,,0,213
2024-11-17 00:42:10.550,0.63,"7 km NW of The Geysers, CA",-122.825836181641,38.8118324279785,2.19000005722046,earthquake,,0,6
2024-11-17 00:30:23.459,4.2,"20 km ENE of Shizunai-furukawachō, Japan",142.6002,42.3884,106.077,earthquake,,0,271
2024-11-17 00:26:14.560,-0.67,"63 km ENE of Pedro Bay, Alaska",-153.093666666667,60.0438333333333,-0.83,earthquake,,0,0
2024-11-17 00:20:08.412,2.2,"89 km SE of Kokhanok, Alaska",-153.7318,58.8375,10.0,earthquake,,0,75
2024-11-17 00:11:17.220,-0.66,"65 km ENE of Pedro Bay, Alaska",-153.062,60.057,0.36,earthquake,,0,0
2024-11-17 00:00:59.070,2.82,"16 km N of Tierras Nuevas Poniente, Puerto Rico",-66.4841666666667,18.6101666666667,76.5,earthquake,,0,122
2024-11-16 23:50:01.600,2.3599999,"5 km SSW of Pāhala, Hawaii",-155.501663208008,19.1551666259766,33.2700004577637,earthquake,,0,86
2024-11-16 23:49:53.550,1.59,"7 km SE of Lake Pillsbury, CA",-122.891998291016,39.3790016174316,0.189999997615814,earthquake,,0,39
2024-11-16 23:49:30.250,4.4,"46 km ENE of Jurm, Afghanistan",71.2831,37.0869,97.735,earthquake,,0,298
2024-11-16 23:47:33.410,2.13,"14 km S of Guánica, Puerto Rico",-66.8855,17.839,14.09,earthquake,,0,70
2024-11-16 23:42:31.348,1.6,"23 km NNW of Toyah, Texas",-103.913,31.499,4.2524,earthquake,,0,39
2024-11-16 23:41:05.887,1.7,"57 km S of Whites City, New Mexico",-104.374,31.655,4.0715,earthquake,,0,44
2024-11-16 23:38:30.170,0.61,"8 km NNW of The Geysers, CA",-122.818336486816,38.8320007324219,1.94000005722046,earthquake,,0,6
2024-11-16 23:26:12.240,1.04,"2 km N of The Geysers, CA",-122.758666992188,38.7929992675781,1.05999994277954,earthquake,,0,17
2024-11-16 23:21:08.000,0.84,"8 km ENE of Coso Junction, CA",-117.8736667,36.0848333,3.3,earthquake,,0,11
2024-11-16 23:18:55.020,0.63,"3 km ESE of The Geysers, CA",-122.726997375488,38.7726669311523,0.670000016689301,earthquake,,0,6
2024-11-16 23:13:16.080,4.3,"37 km WSW of Ashkāsham, Afghanistan",71.1264,36.5965,195.327,earthquake,,0,284
2024-11-16 23:11:34.660,1.06,"3 km SE of The Geysers, CA",-122.726333618164,38.7576675415039,2.64000010490417,earthquake,,0,17
2024-11-16 23:01:45.392,0.6,"8 km E of Floriston, California",-119.9223,39.4087,6.8,earthquake,,0,6
2024-11-16 23:01:26.566,1.6,"4 km E of Tyonek, Alaska",-151.0506,61.0644,43.4,earthquake,,0,39
2024-11-16 22:51:36.776,2.1,"21 km W of Happy Valley, Alaska",-152.1115,59.9191,86.6,earthquake,,0,68
2024-11-16 22:33:52.392,4.4,"Bonin Islands, Japan region",139.366,28.2097,492.672,earthquake,,0,298
2024-11-16 22:17:04.400,3.47,"6 km NW of Fontana, CA",-117.5001667,34.1425,2.79,earthquake,,0,371
2024-11-16 22:14:46.642,0.5,"8 km E of Floriston, California",-119.9235,39.4075,7.0,earthquake,,0,4
2024-11-16 22:10:15.198,1.8,"35 km NW of Toyah, Texas",-104.01,31.576,6.0602,earthquake,,0,50
2024-11-16 21:58:30.790,2.33,"3 km SSW of Pāhala, Hawaii",-155.494506835938,19.1726665496826,29.9699993133545,earthquake,,0,84
2024-11-16 21:57:23.050,1.49,"13 km E of Desert Hot Springs, CA",-116.3591667,33.9521667,7.7,earthquake,,0,34
2024-11-16 21:36:10.720,1.1,"9 km NW of Ocotillo, CA",-116.0513333,32.802,10.04,earthquake,,0,19
2024-11-16 21:27:56.889,1.5,"14 km NE of Nikiski, Alaska",-151.1354,60.7921,66.7,earthquake,,0,35
2024-11-16 21:14:51.880,1.42,"15 km SSE of Mammoth Lakes, CA",-118.861663818359,37.5336685180664,4.78999996185303,earthquake,,0,31
2024-11-16 21:14:07.740,0.73,"3 km NW of The Geysers, CA",-122.777496337891,38.7931671142578,1.42999994754791,earthquake,,0,8
2024-11-16 20:54:14.520,1.43,"7 km NNW of The Geysers, CA",-122.805335998535,38.8240013122559,2.27999997138977,earthquake,,0,31
2024-11-16 20:52:23.480,0.99,"12 km SSW of Mammoth Lakes, CA",-119.023170471191,37.5315017700195,3.67000007629395,earthquake,,0,15
2024-11-16 20:47:12.381,1.8,"20 km WSW of Anchorage, Alaska",-150.2375,61.137,36.0,earthquake,,0,50
2024-11-16 20:43:14.400,2.08,"5 km SE of Ontario, CA",-117.5881667,34.0166667,5.04,earthquake,,0,69
2024-11-16 20:39:11.954,2.0,"46 km E of Pedro Bay, Alaska",-153.277,59.7977,113.7,earthquake,,0,62
2024-11-16 20:30:10.980,2.18000007,"4 km S of Pāhala, Hawaii",-155.477828979492,19.1666660308838,30.2199993133545,earthquake,,0,73
2024-11-16 20:17:59.420,0.85,"3 km ESE of The Geysers, CA",-122.726669311523,38.7681655883789,3.94000005722046,earthquake,,0,11
2024-11-16 20:14:44.092,2.0,"81 km SE of Kokhanok, Alaska",-153.8734,58.8738,0.0,earthquake,,0,62
2024-11-16 19:40:02.170,1.23,"6 km SE of Sunol, CA",-121.83683013916,37.5774993896484,8.76000022888184,earthquake,,0,23
2024-11-16 19:38:11.937,1.8,"32 km NW of Skwentna, Alaska",-151.8073,62.2125,88.1,earthquake,,0,50
2024-11-16 19:36:20.650,0.86,"22 km SW of La Quinta, CA",-116.4443333,33.4986667,14.4,earthquake,,0,11
2024-11-16 19:34:21.730,1.71,"3 km W of Irvine, CA",-117.8203333,33.6846667,13.48,earthquake,,0,45
2024-11-16 19:24:08.080,1.14,"10 km SSW of San Lucas, CA",-121.040832519531,36.0428352355957,11.8299999237061,earthquake,,0,20
2024-11-16 19:12:30.600,3.61,"78 km N of Cruz Bay, U.S. Virgin Islands",-64.6778,19.0361,65.0,earthquake,,0,200
2024-11-16 19:09:25.523,1.8,"17 km ENE of Cantwell, Alaska",-148.6103,63.4381,0.0,earthquake,,0,50
2024-11-16 18:59:38.180,0.76,"7 km NNW of The Geysers, CA",-122.809669494629,38.8238334655762,1.28999996185303,earthquake,,0,9
2024-11-16 18:54:17.790,1.72,"6 km E of Ontario, CA",-117.5653333,34.0488333,6.98,earthquake,,0,46
2024-11-16 18:35:15.986,4.7,"91 km WNW of Pariaman, Indonesia",99.4138,-0.188,92.465,earthquake,,0,340
2024-11-16 18:25:27.713,4.4,"9 km NNE of Jordán, Colombia",-73.0505,6.8052,150.171,earthquake,,0,298
2024-11-16 18:14:49.833,1.8,"27 km E of Cantwell, Alaska",-148.4107,63.4356,0.0,earthquake,,0,50
2024-11-16 18:07:27.870,1.5,"54 km S of Whites City, New Mexico",-104.411,31.681,7.4722,earthquake,,0,35
2024-11-16 18:03:32.060,1.19,"17 km ENE of Borrego Springs, CA",-116.2105,33.3255,11.34,earthquake,,0,22
2024-11-16 17:42:01.320,2.30999994,"6 km SSW of Pāhala, Hawaii",-155.505172729492,19.1466674804688,33.5499992370605,earthquake,,0,82
2024-11-16 17:31:15.140,1.53,"11 km ENE of Ocotillo Wells, CA",-116.028,33.1958333,6.87,earthquake,,0,36
2024-11-16 17:30:52.510,2.13,"12 km SSE of Volcano, Hawaii",-155.197326660156,19.3308334350586,1.54999995231628,earthquake,,0,70
2024-11-16 17:17:37.280,1.06,"15 km ENE of Indio, CA",-116.0758333,33.7876667,2.2,earthquake,,0,17
2024-11-16 17:16:27.530,1.5,"5 km ENE of Houston, Alaska",-149.7148,61.6425,47.7,earthquake,,0,35
2024-11-16 16:40:18.230,2.69,"2 km SSW of Pāhala, Hawaii",-155.492004394531,19.1831665039062,31.1200008392334,earthquake,,0,112
2024-11-16 16:39:14.943,4.5,"198 km ENE of Levuka, Fiji",-178.8863,-17.5694,537.193,earthquake,,0,312
